trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-122.44857526682216,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-30.07163261563594,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,11,-57.50608064283586,"{0: 7, 1: 2, 2: 4, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,6,-135.3979905036432,"{0: 6, 1: 1, 2: 4, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-143.95033719623055,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,9,-58.38174778048212,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-64.28845691414185,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-58.69662014181072,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,9,-129.57474766752512,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-120.26231768116602,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,15,-69.45338494467039,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,3,-100.20474673651897,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-107.55276228381366,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,6,-83.35396363786896,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,12.503364561891805,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",35,0,-138.92336455720613,"{0: 26, 1: 0, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-107.71308698835882,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-41.68984524120684,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-31.429389779339417,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,-45.55015315793906,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,8,-1.2622489757160706,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-77.98810393359929,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,13,11.121545697793584,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,13,12.64040581405466,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,11,-33.78348510143556,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-8.403786797018334,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",30,3,-84.29326252562151,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 3}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,6,-33.37850663324679,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,6,-28.77243546129522,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-27.676239657190976,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
