trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9995001249791693}",25,0,-149.34323441784522,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.999000499833375}",25,0,-23.61894551481815,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.9985011244377109}",30,3,-145.84426423031871,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 2}",1
4,False,"{'a': 0.6, 'e': 0.9980019986673331}",20,0,-71.78820642515308,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.9975031223974601}",25,0,-64.6000652752333,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.6, 'e': 0.997004495503373}",25,0,-121.5151926715798,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.9965061178604149}",30,0,-140.15409182435508,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.9960079893439915}",25,0,-78.46240935328612,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.6, 'e': 0.9955101098295706}",25,0,-231.67902299401666,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
10,False,"{'a': 0.6, 'e': 0.9950124791926823}",20,0,-92.24538624620494,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.9945150973089191}",30,0,-109.67015552286216,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.6, 'e': 0.9940179640539353}",25,18,-1.9133677303785428,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': 0.9935210793034477}",25,0,-37.067632451030356,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.9930244429332351}",20,14,-33.13816267884468,"{0: 4, 1: 0, 2: 0, 3: 2, 4: 0}",1
15,False,"{'a': 0.6, 'e': 0.9925280548191384}",20,0,-123.93866455220935,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.6, 'e': 0.9920319148370607}",30,0,-205.39116852537046,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.6, 'e': 0.9915360228629667}",20,0,-42.6714113419159,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.6, 'e': 0.9910403787728836}",20,0,-83.27103984376114,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.6, 'e': 0.9905449824429005}",20,0,-137.12225506355264,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.6, 'e': 0.9900498337491681}",30,0,-194.72640595199212,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
21,False,"{'a': 0.6, 'e': 0.9895549325678993}",20,0,-151.5971590032109,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
22,False,"{'a': 0.6, 'e': 0.9890602787753687}",25,0,-182.30808916154842,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
23,False,"{'a': 0.6, 'e': 0.988565872247913}",20,4,-41.41296521884498,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
24,False,"{'a': 0.6, 'e': 0.9880717128619305}",20,0,-101.08022867977766,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
25,False,"{'a': 0.6, 'e': 0.9875778004938814}",20,0,-146.43075933855104,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
26,False,"{'a': 0.6, 'e': 0.9870841350202876}",25,0,-134.01319947223016,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
27,False,"{'a': 0.6, 'e': 0.9865907163177327}",20,0,-97.86128301414757,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.6, 'e': 0.9860975442628619}",20,0,-142.53991153794658,"{0: 9, 1: 1, 2: 7, 3: 2, 4: 1}",0
29,False,"{'a': 0.6, 'e': 0.9856046187323824}",20,0,-104.21245976326148,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
30,False,"{'a': 0.6, 'e': 0.9851119396030626}",20,0,-84.05698094832155,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.6, 'e': 0.9846195067517329}",25,0,-153.32380086683133,"{0: 14, 1: 2, 2: 4, 3: 4, 4: 1}",0
32,False,"{'a': 0.6, 'e': 0.9841273200552851}",30,0,-69.72853572753972,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
33,False,"{'a': 0.6, 'e': 0.9836353793906724}",20,10,-43.507034910846784,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
34,False,"{'a': 0.6, 'e': 0.9831436846349096}",20,0,-91.83440477627335,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.6, 'e': 0.9826522356650732}",30,0,-132.4215073359338,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
36,False,"{'a': 0.6, 'e': 0.9821610323583008}",20,0,-103.11969229279516,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
37,False,"{'a': 0.6, 'e': 0.9816700745917915}",25,0,-130.7047467144322,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
38,False,"{'a': 0.6, 'e': 0.981179362242806}",30,0,-116.7162165565738,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
39,False,"{'a': 0.6, 'e': 0.9806888951886662}",20,0,-134.73495315725785,"{0: 9, 1: 1, 2: 6, 3: 4, 4: 0}",0
40,False,"{'a': 0.6, 'e': 0.9801986733067553}",20,0,-89.25990073069381,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.6, 'e': 0.9797086964745179}",20,0,-184.12750954159725,"{0: 12, 1: 0, 2: 2, 3: 3, 4: 3}",0
42,False,"{'a': 0.6, 'e': 0.9792189645694596}",20,0,-115.89911617676434,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
43,False,"{'a': 0.6, 'e': 0.9787294774691476}",30,0,-158.06998044578435,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
44,False,"{'a': 0.6, 'e': 0.97824023505121}",35,0,-93.48882883906816,"{0: 24, 1: 5, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.6, 'e': 0.9777512371933363}",25,0,-154.66782449151555,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
46,False,"{'a': 0.6, 'e': 0.9772624837732771}",30,0,-155.74584964309423,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
47,False,"{'a': 0.6, 'e': 0.9767739746688439}",25,0,-74.6410384047527,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
48,False,"{'a': 0.6, 'e': 0.9762857097579093}",25,0,-186.49086753359938,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
49,False,"{'a': 0.6, 'e': 0.9757976889184073}",30,11,-136.226838417505,"{0: 10, 1: 1, 2: 3, 3: 4, 4: 1}",1
50,False,"{'a': 0.6, 'e': 0.9753099120283326}",25,0,-146.17943816755295,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
51,False,"{'a': 0.6, 'e': 0.9748223789657411}",25,0,-54.122033271203826,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
52,False,"{'a': 0.6, 'e': 0.9743350896087494}",25,0,-74.29284610909352,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.6, 'e': 0.973848043835535}",25,0,-187.75185824732037,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
54,False,"{'a': 0.6, 'e': 0.9733612415243368}",25,0,-44.419573251902406,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.6, 'e': 0.972874682553454}",20,0,-110.60244761243348,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
56,False,"{'a': 0.6, 'e': 0.9723883668012469}",30,0,-65.3610937559693,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
