trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.4918470471685,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.03966542704723,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,18,-74.38764259535813,"{0: 8, 1: 1, 2: 0, 3: 2, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.73276004292578,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.8413871560259,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-196.68441073104688,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,10,-36.2573471402816,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,18,-1.0360932726248668,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.81488718890017,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-216.0411465996231,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.52683145510846,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.1663430599319,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.56769668415451,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-126.4799747546855,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.29947448715473,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-196.76853355020387,"{0: 7, 1: 1, 2: 8, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.76469397389866,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.673162803159942,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.09416169558371,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.59201871566595,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-157.94837962771663,"{0: 18, 1: 1, 2: 9, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-29.83890297260211,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-62.7437011075028,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-170.9047503814566,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.98134315656623,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-112.38756757161265,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.76513391412186,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-156.84403485398167,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-134.8603806154991,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.2700386603775,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
